query_id	query
0	what is the purpose of the european parliamentary and council decision 2019/276?
1	what is the daily rate for a consultant
2	when does per unit retains reclassify
3	when does the decision to use the flexibility instrument apply
4	what is required to receive cops award
5	cops office contact number
6	when did the european council decide to mobilize the economic globalisation adjustment fund?
7	if you forgot your gprs password how to get the password
8	cops office contact information
9	definition of provisional rate
10	when must a sole source justifier be submitted
11	when does the european union decision enter into force?
12	when does eu decision go into force
13	when was the european fund for sustainable development decision published
14	what is the safecom guidelines
15	how to report a sexually abusive inmate
16	where files are stored centrally
17	what activities are required for cops
18	what is the payment appropriation for the flexibility instrument?
19	how far in advance do I have to submit an event for review and approval?
20	what is the fsrs
21	are indirect cost rates approved
22	when does globalization adjustment fund enter into force
23	how to provide sole source justification
24	when do you report subrecipient total compensation
25	which accounting method change will be proposed in the later year(s) of change?
26	how to schedule maintenance for ion spectrometry device
27	when did the flexibility instrument for the budget come into force
28	when did the european parliament and of the council decide to mobilise the globalisation adjustment fund?
29	what makes an oig audit
30	when does the decision of the european parliament enter into force
31	when is the date of the decision of the eu
32	can staff delete victims from vns
33	what is the focus of the european year
34	what is recipient
35	when should an award be obligated
36	what federal regulations are cited in this program statement
37	when doj sponsored conference request and report date
38	which expenses are allowable under svpp?
39	when a research project consists of human subjects that are not covered by the c.f.r.
40	how to modify a chp grant
41	how soon do i need to submit cost rates after approval
42	when do you need to submit a final reimbursement for expended funds
43	dnb number for awards
44	what is the cops office phone number
45	cops office contact phone number
46	what condition for macro financial assistance for moldova
47	what is the precondition for granting the european aid to the republic of moldova?
48	what is the goal of a response?
49	what is included in my civil rights award package?
50	what is sam
51	does cops grant generate program income
52	what case did not involve title
53	when was europe's globalisation decision 2015/1871
54	are you required to report total compensation of a recipient executive?
55	what is agency information policy and public affairs division
56	what are the procedures to obtain macro aid from the European Commission?
57	what is a general program fund
58	when is a precondition met and the conditions referred to in point 6 (a) not met, the Commission should temporarily suspend or cancel the disbursement of macrofinancial assistance.
59	what is an award condition
60	do i have to take reprisal actions against an employee for disclosing misconduct?
61	what type of policing activities will be initiated or enhanced by your agency
62	what is the highest type armor
63	which act of infringement exempts the use of patented drugs to develop generic drugs from suit infringement
64	regulation on the protection of the european financial interests
65	can you fire warning shot into the air
66	what is artificial intelligence used for
67	cops office contact number for grants
68	when do progress reports come due
69	who has to disclose trgp fraud to cops
70	what is local budget cycle
71	why is integrated water provision and management important in agro-food systems
72	what is sustainable agro-food systems
73	egf 2016/619
74	when was the 1984 act revised
75	how can iraq avoid further material breach
76	what does prima is do
77	why are financial systems required
78	why do state information technology points of contact work?
79	which article of the decision goes beyond what is necessary for the achievement of which objective?
80	cops office phone number
81	which act requires that contractors comply with omnibus crime control and safe streets act?
82	what to announce to housing unit
83	what is the purpose of prima?
84	which of the following is the purpose of a PRIMA
85	how long do we keep financial documents for pass awards
86	what agency must do to reprogram award funds
87	how to reset password for cops
88	what does the oig audit consist of
89	when to use irm method for income
90	why should the auditor be required to consider the influence of someone else's business judgment
91	how to determine the amount on 1040 SR
92	ukraine macro financial assistance
93	what is problem solving in the police
94	when is an oig audit conducted?
95	what technology encourages effective internal communication? e-mail, e-mail, social media, mla, mla, mla, microsoft word
96	how long to sign an award
97	what is the purpose of parking structures
98	what to include in project kick-off meeting
99	what is the purpose of the cops grant monitoring specialist
100	cops grant program phone number
101	how long do they have to notify a beneficiary of jrj after debt owed?
102	who is responsible for filing a frivolous tax return
